model,val_rmse,val_mae,val_mape,val_r2,val_dir,test_rmse,test_mae,test_mape,test_r2,test_dir,all_rmse,all_mae,all_mape,all_r2,all_dir
ridge,0.15156044839326308,0.05126914583518012,11.28025176669705,-13.52843761594723,0.48996350364963503,0.07594255693726416,0.06296736467669464,59.92314887890781,-8.512973669000802,0.49341438703140833,0.12173344247806926,0.05681218087914308,34.328998502055676,-12.236861470618482,0.49159865578492556
ols,0.15171963633429814,0.05135268511585397,11.311670330544318,-13.558972846838333,0.48905109489051096,0.07614601744246356,0.06313940955782334,60.10338453679647,-8.564015068207054,0.49341438703140833,0.12189789102452865,0.05693765728302813,34.43093193475501,-12.27264872647246,0.4911185789726356
svr,0.04833369863711798,0.035451624421942024,7.807039032536363,-0.47756709108233064,0.5191605839416058,0.034861523974086525,0.026840945951232258,12.468057323475533,-1.0046501948042952,0.49746707193515705,0.04248601531141927,0.03137157658200417,10.015596427234856,-0.6123421938977793,0.5088814210273643
xgb,0.054106962639544884,0.04125704513738425,13.079214622896616,-0.8516268079524287,0.5054744525547445,0.054304123041075944,0.04603747326067072,30.0086650400576,-3.8642005559219843,0.49138804457953394,0.05420047370261024,0.04352218318716041,21.100994537317113,-1.6240456202460218,0.4987998079692751
lgbm,0.051192548494408505,0.038983664021918475,12.194779380367148,-0.6575271495906776,0.4972627737226277,0.04831456633515194,0.04039702801161604,27.205042205630015,-2.8503661902379487,0.5015197568389058,0.049849574347221176,0.03965336649807377,19.307179480479704,-1.2196685334481767,0.49927988478156504
arima,0.1516222495254309,0.051375536452671004,11.327380693531833,-13.540288424833642,0.48905109489051096,0.028568611439585542,0.021448834440107575,11.7495835634522,-0.34624507732356524,0.49645390070921985,0.11172680182686233,0.037195193252286894,11.527435533959775,-10.150130525211969,0.4925588094095055
varx,0.15145632790742558,0.05138659115382588,11.334045173379714,-13.508482695101224,0.48996350364963503,0.028934078344555813,0.021860514894311976,12.337263561626587,-0.3809093489449096,0.49645390070921985,0.11165292961913706,0.03739607878313927,11.809405974723772,-10.135390777176504,0.4930388862217955
lstm,0.04014659603300167,0.02677529358273203,1.6716679247420918,-0.00922784615434491,0.49203373945641987,0.025055927505453744,0.017554419935590513,2.2500034957955077,-0.03593296872841445,0.5302713987473904,0.03385640185396239,0.02241302348201027,1.9452706294676092,-0.0157087092178414,0.5101234567901235
gru,0.04352382938172443,0.030272574495234895,6.041323260919079,-0.18616735403008922,0.5089034676663543,0.03216501024364038,0.025947768142829137,14.684314027753539,-0.7071751294209412,0.4979123173277662,0.03856934499747833,0.02822656734184985,10.130204818759777,-0.3181720588669832,0.5037037037037037
cnn,0.04880033670603785,0.03547397213660757,7.247935959731545,-0.4912051875236061,0.4845360824742268,0.06157676689582014,0.04996586189754208,47.99925908872385,-5.256687326439671,0.4968684759916493,0.055214412327075336,0.0423298883790645,26.526833519027658,-1.7014223142232452,0.49037037037037035
tft,0.06920011137768893,0.055361480736137926,14.364455636572776,-1.9985089932020164,0.4948453608247423,0.04833354967331736,0.04002137043483037,24.351845686832036,-2.854855205861007,0.49269311064718163,0.06023620094623993,0.04810428287507489,19.089354238127527,-2.2151609723145773,0.49382716049382713
